Code,Description,CodeType,Deprecated,Created,Modified,
0,0: Unknown,Platform Class,False,2006-11-22,2016-08-08,
10,10: Land or seafloor,Platform Class,False,2013-09-15,2016-08-08,
11,11: Fixed benthic node,Platform Class,False,2012-08-15,2016-08-08,
12,12: Sea bed vehicle,Platform Class,False,2012-08-15,2016-08-08,
13,13: Beach/intertidal zone structure,Platform Class,False,2006-11-22,2016-08-08,
14,14: Land/onshore structure,Platform Class,False,2006-11-22,2017-07-02,
15,15: Land/onshore vehicle,Platform Class,False,2012-07-18,2016-08-08,
16,16: Offshore structure,Platform Class,False,2006-10-23,2017-06-14,
17,17: Coastal structure,Platform Class,False,2006-11-24,2016-08-08,
18,18: River station,Platform Class,False,2012-08-15,2016-08-08,
19,19: Mesocosm bag,Platform Class,False,2013-09-15,2016-08-08,
20,20: Submersible,Platform Class,False,2010-10-15,2019-02-05,
21,21: Propelled manned submersible,Platform Class,False,2010-10-15,2018-07-09,
22,22: Propelled unmanned submersible (ex.ROV),Platform Class,False,2010-10-15,2020-01-27,
23,23: Towed unmanned submersible,Platform Class,False,2010-10-15,2016-08-08,
24,24: Drifting manned submersible,Platform Class,False,2010-10-15,2016-08-08,
25,25: Autonomous underwater vehicle,Platform Class,False,2010-10-15,2018-06-14,
26,26: Lowered unmanned submersible,Platform Class,False,2010-10-15,2016-08-08,
27,27: sub-surface gliders (buoyancy-based propulsion capable at variable depths not constrained to be near sea surface),Platform Class,False,2013-09-15,2020-03-10,
30,30: Ship,Platform Class,False,2006-10-23,2020-02-12,
31,31: Research vessel,Platform Class,False,2006-10-23,2020-02-12,
32,32: Vessel of opportunity,Platform Class,False,2006-10-23,2020-03-10,
33,33: Self-propelled small boat,Platform Class,False,2006-11-22,2020-01-06,
34,34: Vessel at fixed position - Includes light vessels and weather ships,Platform Class,False,2009-01-26,2018-07-25,
35,35: Vessel of opportunity on fixed route,Platform Class,False,2006-11-24,2020-01-27,
36,36: Fishing vessel,Platform Class,False,2006-10-23,2020-03-03,
37,37: Self-propelled boat,Platform Class,False,2012-08-15,2020-02-12,
38,38: Man-powered boat,Platform Class,False,2012-08-15,2016-08-08,
39,39: Naval vessel,Platform Class,False,2006-11-24,2020-02-12,
3A,3A: Man-powered small boat,Platform Class,False,2006-11-22,2016-08-08,
3B,3B: Autonomous surface water vehicle,Platform Class,False,2012-08-15,2016-08-08,
3C,3C: surface gliders,Platform Class,False,2013-09-15,2016-08-08,
3D,3D: drillship,Platform Class,False,2015-11-07,2019-07-29,
3Z,3Z: Surface vessel - mobile platform,Platform Class,False,2012-08-15,2016-08-08,
41,41: Moored surface buoy,Platform Class,False,2006-11-22,2016-08-08,
42,42: Drifting surface float,Platform Class,False,2006-11-22,2016-08-08,
43,43: subsurface mooring,Platform Class,False,2013-05-29,2016-08-08,
44,44: drifting subsurface float,Platform Class,False,2013-05-29,2016-08-08,
45,45: fixed subsurface vertical profiler,Platform Class,False,2013-05-29,2016-08-08,
46,46: Drifting subsurface profiling float,Platform Class,False,2006-11-24,2016-08-08,
47,47: Float - free-floating platform,Platform Class,False,2012-08-15,2016-08-08,
48,48: Mooring - tethered collection of instruments at a fixed location that may include seafloor  mid water or surface components,Platform Class,False,2012-08-15,2016-08-08,
49,49: surface ice buoy (no sub-surface parachute),Platform Class,False,2013-09-15,2016-08-08,
50,50: buoyant aircraft,Platform Class,False,2013-09-15,2016-08-08,
51,51: free-rising balloon (constrained to rise vertically at fixed location),Platform Class,False,2013-09-15,2016-08-08,
52,52: free-floating balloon,Platform Class,False,2013-09-15,2016-08-08,
53,53: tethered balloon,Platform Class,False,2013-09-15,2016-08-08,
54,54: airship,Platform Class,False,2013-09-15,2016-08-08,
60,60: non-buoyant aircraft,Platform Class,False,2013-09-15,2016-08-08,
61,61: Research aeroplane,Platform Class,False,2006-11-24,2016-08-08,
62,62: aeroplane,Platform Class,False,2013-09-15,2016-08-08,
63,63: rocket,Platform Class,False,2013-09-15,2016-08-08,
64,64: Geostationary orbiting satellite,Platform Class,False,2010-10-26,2017-12-28,
65,65: Orbiting satellite,Platform Class,False,2010-10-26,2019-07-15,
66,66: manned spacecraft,Platform Class,False,2013-09-15,2016-08-08,
67,67: Helicopter,Platform Class,False,2006-10-23,2019-02-07,
68,68: Satellite,Platform Class,False,2010-10-26,2016-08-08,
69,69: autogyro,Platform Class,False,2013-09-15,2016-08-08,
6A,6A: glider (fixed-wing aircraft),Platform Class,False,2013-09-15,2016-08-08,
6B,6B: kite,Platform Class,False,2013-09-15,2016-08-08,
6C,6C: parachute,Platform Class,False,2013-09-15,2016-08-08,
6D,6D: unmanned aerial vehicle,Platform Class,False,2015-06-26,2016-08-08,
6Z,6Z: spacecraft,Platform Class,False,2013-09-15,2016-08-08,
70,70: organism,Platform Class,False,2013-05-29,2016-08-08,
71,71: Human,Platform Class,False,2006-11-22,2016-08-08,
72,72: Diver,Platform Class,False,2006-11-22,2016-08-08,
73,73: flightless bird,Platform Class,False,2013-05-29,2016-08-08,
74,74: seabird and duck,Platform Class,False,2013-05-29,2016-08-08,
75,75: cetacean,Platform Class,False,2013-05-29,2016-08-08,
76,76: fish,Platform Class,False,2013-05-29,2016-08-08,
77,77: land-sea mammals,Platform Class,False,2013-05-29,2016-08-08,
90,90: cryosphere,Platform Class,False,2013-05-29,2016-08-08,
91,91: ice island,Platform Class,False,2013-05-29,2019-02-05,
92,92: ice shelf,Platform Class,False,2013-05-29,2016-08-08,
93,93: pack ice (not connected to land with ice concentration over 70%),Platform Class,False,2013-09-15,2019-02-05,
94,94: drift ice (not connected to land with ice concentration under 70%),Platform Class,False,2013-09-15,2016-08-08,
95,95 Amphibious surface vehicle (DUKW  hovercraft),Platform Class,False,2010-02-22,2018-05-28,
96,96: Amphibious crawler (beach crawler),Platform Class,False,2010-02-22,2016-08-08,
9A,9A: DUKW six-wheel drive amphibious truck,Platform Class,False,2013-09-15,2016-08-08,
9B,9B: hovercraft,Platform Class,False,2013-09-15,2016-08-08,
