Code,Description,CodeType,Deprecated,Created,Modified,
0600,SANTA GIULIETTA,SHIPC,False,2020-02-06,2020-02-06,
0602,HANJIN OTTAWA,SHIPC,False,2019-01-02,2019-01-02,
0608,MSC BENEDETTA,SHIPC,False,2019-06-21,2019-06-21,
060Q,CHICAGO EXPRESS,SHIPC,False,2015-11-09,2019-08-21,
060V,BUXCONTACT,SHIPC,False,2019-01-05,2019-01-05,
0611,BERLIN,SHIPC,False,2006-12-21,2016-01-29,
0612,NATIONAL,SHIPC,False,2006-12-21,2009-11-23,
0613,SCHWABENLAND,SHIPC,False,2006-12-21,2009-12-08,
0614,ANNE MARIE,SHIPC,False,2009-02-04,2013-08-15,
061A,SEAPAC BUNKER HILL,SHIPC,False,2006-12-21,2018-06-11,
061B,SEAPAC LEXINGTON,SHIPC,False,2006-12-21,2006-12-21,
061C,SEAPAC PRINCETON,SHIPC,False,2006-12-21,2006-12-21,
061D,SEAPAC CONCORD,SHIPC,False,2006-12-21,2006-12-21,
061E,SEAPAC VALLEY FORGE,SHIPC,False,2006-12-21,2006-12-21,
061F,CAP SAN MARCO,SHIPC,False,2006-12-21,2006-12-21,
061G,ANNIEMARIE,SHIPC,False,2006-12-21,2012-02-28,
061H,CAP SAN AUGUSTIN,SHIPC,False,2006-12-21,2006-12-21,
061I,SUNNA HAV,SHIPC,False,2006-12-21,2006-12-21,
061J,SCHLESWIG HOLSTEIN,SHIPC,False,2006-12-21,2006-12-21,
061K,BAYERN,SHIPC,False,2006-12-21,2006-12-21,
061L,HESSEN,SHIPC,False,2006-12-21,2006-12-21,
061M,LUETJENS,SHIPC,False,2006-12-21,2006-12-21,
061N,MOELDERS,SHIPC,False,2006-12-21,2006-12-21,
061O,HANJIN COPENHAGEN,SHIPC,False,2018-12-30,2018-12-30,
061P,ROMMEL,SHIPC,False,2006-12-21,2006-12-21,
061Q,KOELN,SHIPC,False,2006-12-21,2006-12-21,
061R,EMDEN,SHIPC,False,2006-12-21,2006-12-21,
061S,AUGSBURG,SHIPC,False,2006-12-21,2006-12-21,
061T,KARLSRUHE,SHIPC,False,2006-12-21,2006-12-21,
061U,LUEBECK,SHIPC,False,2006-12-21,2006-12-21,
061V,BRAUNSCHWEIG,SHIPC,False,2006-12-21,2006-12-21,
061W,BREMEN,SHIPC,False,2006-12-21,2006-12-21,
061X,NIEDERSACHSEN,SHIPC,False,2006-12-21,2006-12-21,
061Y,GEORGE FOCH,SHIPC,False,2006-12-21,2006-12-21,
061Z,SCHLESWIG,SHIPC,False,2006-12-21,2006-12-21,
0621,ROUTE: HAMBURG - HULL,SHIPC,False,2006-12-21,2009-12-11,
0624,MSC LIVORNO,SHIPC,False,2019-01-24,2019-01-24,
0627,KYOTO EXPRESS,SHIPC,False,2016-08-25,2016-08-25,
0628,VIENNA EXPRESS,SHIPC,False,2017-06-13,2017-06-13,
062A,PADERBORN,SHIPC,False,2006-12-21,2006-12-21,
062B,DUERN,SHIPC,False,2006-12-21,2006-12-21,
062C,KONSTANZ,SHIPC,False,2006-12-21,2006-12-21,
062D,WOLFSBURG,SHIPC,False,2006-12-21,2006-12-21,
062E,ULM,SHIPC,False,2006-12-21,2006-12-21,
062F,FULDA,SHIPC,False,2006-12-21,2006-12-21,
062G,LINDAU,SHIPC,False,2006-12-21,2006-12-21,
062H,TUEBINGEN,SHIPC,False,2006-12-21,2006-12-21,
062I,MINDEN,SHIPC,False,2006-12-21,2006-12-21,
062J,KOBLENZ,SHIPC,False,2006-12-21,2006-12-21,
062K,WETZLAR,SHIPC,False,2006-12-21,2006-12-21,
062L,WEILHEIM,SHIPC,False,2006-12-21,2006-12-21,
062M,VOELKLINGEN,SHIPC,False,2006-12-21,2006-12-21,
062N,CUXHAVEN,SHIPC,False,2006-12-21,2006-12-21,
062P,MARBURG,SHIPC,False,2006-12-21,2006-12-21,
062Q,NAJADE,SHIPC,False,2006-12-21,2006-12-21,
062R,DONAU,SHIPC,False,2006-12-21,2006-12-21,
062S,LAHN,SHIPC,False,2006-12-21,2006-12-21,
062T,WERRA,SHIPC,False,2006-12-21,2006-12-21,
062U,FEHMARN,SHIPC,False,2006-12-21,2006-12-21,
062V,EISBAER,SHIPC,False,2006-12-21,2006-12-21,
062W,SPIEKEROOG,SHIPC,False,2006-12-21,2006-12-21,
062X,WALTHER VON LEDEBUR,SHIPC,False,2006-12-21,2006-12-21,
062Y,RECTEUR DUBUISSON,SHIPC,False,2006-12-21,2006-12-21,
062Z,THETIS,SHIPC,False,2006-12-21,2006-12-21,
063A,HERMES,SHIPC,False,2006-12-21,2006-12-21,
063B,PORT HARCOURT,SHIPC,False,2006-12-21,2006-12-21,
063C,CARIBIA EXPRESS,SHIPC,False,2006-12-21,2006-12-21,
063D,SIERRA EXPRESS,SHIPC,False,2006-12-21,2006-12-21,
